"","row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000105989","ENSG00000105989",326.943400852603,6.47945701438778,0.174637791587049,31.3761240599318,4.28425974057951e-216,1.3958118234808e-211,"WNT2"
"ENSG00000123500","ENSG00000123500",1037.67105227675,9.23583373538657,0.264361084036663,31.1537296247596,4.51514373667215e-213,7.35516914703893e-209,"COL10A1"
"ENSG00000060718","ENSG00000060718",1612.03565712379,7.76779972177416,0.217525735512329,31.1126391819075,1.62489854808052e-212,1.76463982321545e-208,"COL11A1"
"ENSG00000167767","ENSG00000167767",1417.04862265018,6.93755253663793,0.191384774230127,31.0241635497003,2.54593671218004e-211,2.07366545207064e-207,"KRT80"
"ENSG00000122641","ENSG00000122641",1588.96288600368,6.51521886543576,0.182120941920188,30.2832766363174,1.90352479898752e-201,1.24033675902027e-197,"INHBA"
"ENSG00000062038","ENSG00000062038",3231.28443466846,5.46695465766882,0.161834918216741,27.6019211854289,1.05516689458813e-167,5.72955623761356e-164,"CDH3"
"ENSG00000175832","ENSG00000175832",3883.52235719287,5.07339925228678,0.151921738541992,26.8124844500832,2.31113405968925e-158,1.07566782378108e-154,"ETV4"
"ENSG00000164283","ENSG00000164283",250.159145279163,5.87060815924936,0.1817254971378,26.8020076211762,3.06173886092293e-158,1.24689315111086e-154,"ESM1"
"ENSG00000164379","ENSG00000164379",1509.89631041069,6.5158727733801,0.213234105718278,25.8676854474097,1.53903973262139e-147,5.57132383208944e-144,"FOXQ1"
"ENSG00000164932","ENSG00000164932",1170.62887349198,4.97469808468099,0.162265013672146,24.4951021463678,1.66577987285947e-132,5.42711082577615e-129,"CTHRC1"
"ENSG00000148848","ENSG00000148848",910.140315221778,5.50411833339963,0.194666453961086,23.1376194601049,1.93714132828955e-118,5.7374604068794e-115,"ADAM12"
"ENSG00000163347","ENSG00000163347",3457.50009758209,5.0305263233054,0.175564681402263,22.9575008544597,1.24001506408003e-116,3.36664089897727e-113,"CLDN1"
"ENSG00000151388","ENSG00000151388",822.465379943239,4.51161562757696,0.153529293833345,22.8726097795304,8.70674341662322e-116,2.1820438501045e-112,"ADAMTS12"
"ENSG00000099953","ENSG00000099953",4350.46551607162,5.52414298701025,0.199975019842769,22.623540633062,2.54236167126184e-113,5.91643880355076e-110,"MMP11"
"ENSG00000103888","ENSG00000103888",4799.50829024971,5.06501488683371,0.192500364606456,21.1169204543801,5.56036293163206e-99,1.20771082875048e-95,"CEMIP"
"ENSG00000101115","ENSG00000101115",129.991142754523,5.40660353232203,0.214684932585423,20.5259096633092,1.26375943603935e-93,2.57333015163513e-90,"SALL4"
"ENSG00000105464","ENSG00000105464",1334.62377224601,4.82519960682673,0.188538350744766,20.288708327597,1.61790166601744e-91,3.1006609575793e-88,"GRIN2D"
"ENSG00000214039","ENSG00000214039",607.480559233651,8.26783260022065,0.359434159571706,20.2202055833559,6.50116730228721e-91,1.17671128171398e-87,"RP11-474D1.3"
"ENSG00000170373","ENSG00000170373",1066.18602864254,8.48032314421653,0.374236537525775,19.9882224051983,6.97361518691763e-89,1.19579148836724e-85,"CST1"
"ENSG00000178773","ENSG00000178773",1016.51247061276,5.42760249204648,0.227120585056295,19.4945010860598,1.22240898296306e-84,1.99130423324682e-81,"CPNE7"
"ENSG00000108244","ENSG00000108244",2580.62651505387,7.32225356541785,0.32450455302351,19.4827884740335,1.5367722820177e-84,2.38419242610174e-81,"KRT23"
"ENSG00000167755","ENSG00000167755",958.893847541358,9.08079926514953,0.416359286804792,19.4082359184609,6.57458090160617e-84,9.73635662610587e-81,"KLK6"
"ENSG00000142959","ENSG00000142959",339.543221488546,-5.89043856179524,0.253229654371036,-19.3122664639809,4.23570349349543e-83,5.999966079047e-80,"BEST4"
"ENSG00000137673","ENSG00000137673",2410.91939576399,7.35079754074602,0.332847431784862,19.0802059270534,3.68802978024334e-81,5.00650042668033e-78,"MMP7"
"ENSG00000105664","ENSG00000105664",881.581145941919,6.7142354043903,0.300992323640646,18.9846549416075,2.28431881187663e-80,2.97692427563762e-77,"COMP"
"ENSG00000114270","ENSG00000114270",1374.40428079087,4.5259885107847,0.185841629565437,18.9730821830916,2.84713196852505e-80,3.56767536671331e-77,"COL7A1"
"ENSG00000129474","ENSG00000129474",846.931815903611,2.98348036106388,0.107563042712299,18.4401659812574,6.25489444570704e-76,7.54757263115316e-73,"AJUBA"
"ENSG00000137745","ENSG00000137745",88.3451554150778,7.42735196420592,0.349941065955038,18.3669554376672,2.41589248265831e-75,2.8110634673217e-72,"MMP13"
"ENSG00000095752","ENSG00000095752",161.214904240038,5.9058606896094,0.27533941955042,17.8175021129186,5.1693796870657e-71,5.80753069671037e-68,"IL11"
"ENSG00000137868","ENSG00000137868",487.552823182089,6.06180652210067,0.284703575998051,17.7792165214508,1.02400972380036e-70,1.11207456004719e-67,"STRA6"
